"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U1","AMS1117-3.3","Top","FP-AMS1117-IPC_C","104.5000","63.0000","0","LDO Voltage Regulators 1A, 3.3V"
"X1","24MHz","Top","XTAL_3225","89.7500","67.7500","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U5","BMP388","Top","PQFN50P200X200X80-10N","94.5000","80.7500","90","P-Sensor SPI I2C 1, 25 Bar SMD"
"U4","STM32F411CEU6","Top","STM-UFQFPN48_L","98.0000","72.0000","270","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U3","LIS3MDLTR","Top","FP-VFLGA-12-8365767-MFG","97.9875","82.0000","90","SENSOR MR I2C/SPI 12LGA"
"U2","ICM-42688-P","Top","PQFN50P300X250X97-14N","95.5850","64.0000","270","Accelerometer, Gyroscope, 6 Axis Sensor Output"
"R10","10K","Top","RES_0402","90.0000","80.2500","0","Resistor SMD 0402"
"R9","0R","Top","RES_0402","90.7500","71.5000","0","Resistor SMD 0402"
"R8","1k","Top","RES_0402","90.7500","78.0000","270","Resistor SMD 0402"
"R7","10K","Top","RES_0402","107.5000","83.5000","0","Resistor SMD 0402"
"R6","4k7","Top","RES_0402","97.0000","78.7500","180","Resistor SMD 0402"
"R5","4k7","Top","RES_0402","99.5000","78.7500","0","Resistor SMD 0402"
"R4","10k","Top","RES_0402","93.7500","61.0000","180","Resistor SMD 0402"
"R3","5k1","Top","RES_0402","106.1755","74.2538","180","Resistor SMD 0402"
"R2","5k1","Top","RES_0402","105.7500","71.7500","180","Resistor SMD 0402"
"R1","1k","Top","RES_0402","89.5000","78.0000","90","Resistor SMD 0402"
"J3","90120-0125","Top","FP-90120-0125-MFG","108.0000","85.5000","0","90120-0125 2.54mm Pitch C-Grid III Header, Single Row, Vertical, 5 Circuits, Tin (Sn) Plating"
"J2","TYPE-C-31-M-12","Top","TYPE-C-31-M-12","110.8750","72.5000","90","USB Type C Connector Horizontal SMT"
"J1","TC2030-NL","Top","TC2030-NL-FP","106.5000","80.8650","180","Tag-Connect No-Solder SWD Debug Connector (No Legs) DO NOT PLACE"
"FB1","120R","Top","FB_0603","105.0000","70.2500","180","Ferrite Bead SMD 0603"
"D2","BLUE","Top","LED_0402_BLUE","90.7500","75.7500","270","LED 0402 BLUE SMD"
"D1","RED","Top","LED_0402_RED","89.5000","75.7500","270","LED 0402 RED SMD"
"C22","100n","Top","CAP_0402","92.2500","81.7500","90","Capacitor SMD 0402"
"C21","100n","Top","CAP_0402","94.5000","83.0000","0","Capacitor SMD 0402"
"C20","10P","Top","CAP_0402","90.7500","70.2500","180","Capacitor SMD 0402"
"C19","10P","Top","CAP_0402","88.7500","70.2500","0","Capacitor SMD 0402"
"C18","100n","Top","CAP_0402","94.7653","76.9655","180","Capacitor SMD 0402"
"C17","100n","Top","CAP_0402","102.9575","75.0632","90","Capacitor SMD 0402"
"C16","100n","Top","CAP_0402","101.3482","67.0000","0","Capacitor SMD 0402"
"C15","100n","Top","CAP_0402","93.0012","70.7383","270","Capacitor SMD 0402"
"C14","100n","Top","CAP_0402","93.2500","75.7500","270","Capacitor SMD 0402"
"C13","2u2","Top","CAP_0603","92.0000","76.0000","270","Capacitor SMD 0603"
"C12","100n","Top","CAP_0402","105.5000","83.5000","0","Capacitor SMD 0402"
"C11","2u2","Top","CAP_0603","99.7317","66.2432","90","Capacitor SMD 0603"
"C10","100n","Top","CAP_0402","100.7500","82.2500","270","Capacitor SMD 0402"
"C9","100n","Top","CAP_0402","98.7500","84.7500","0","Capacitor SMD 0402"
"C8","2u2","Top","CAP_0603","96.2500","84.7500","180","Capacitor SMD 0603"
"C7","2u2","Top","CAP_0603","91.5000","62.7500","270","Capacitor SMD 0603"
"C6","100n","Top","CAP_0402","93.0000","64.7500","270","Capacitor SMD 0402"
"C5","100n","Top","CAP_0402","93.0000","62.7500","90","Capacitor SMD 0402"
"C4","22u","Top","CAP_0805","104.5000","58.5000","180","Capacitor SMD 0805"
"C3","22u","Top","CAP_0805","110.0000","60.0000","90","Capacitor SMD 0805"
"C2","2u2","Top","CAP_0603","104.2500","68.0000","90","Capacitor SMD 0603"
"C1","2u2","Top","CAP_0603","105.7500","68.0000","90","Capacitor SMD 0603"
